id	comment	label
1	여기 음식은 언제 와도 실망시키지 않아요. 최고!	1
2	여기 라멘 진짜 ㄹㅇ 맛있어요. 국물이 진하고 면도 쫄깃해서 너무 좋았습니다.	1
3	진짜 깔끔하고, 맛도 좋았어요. 추천합니다!	1
4	왜 이렇게 유명한지 모르겠음ㅋㅋ ㄹㅈㄷ 맛없음	0
5	인생 타르트를 여기서 만났어요❤️ 달지 않고 고소해서 정말 추천합니다!	1
6	메뉴 설명을 너무 친절하게 해주셔서 고르기 수월했어요.	1
7	사진과 음식이 너무 달라서 실망했습니다.	0
8	주변에 추천하려고 사진도 많이 찍었어요. 좋아요!	1
9	솔직히...? 맛이 그닥이에요. 리뷰랑 너무 다르네.	0
10	진짜 개꿀맛..ㅠ 다른곳 안가.	1
11	음식이 너무 늦게 나와서 기다리는 동안 답답했습니다.	0
12	음식도 맛있고, 가격도 합리적이에요. 다음에 또 오려구요.	1
13	여기 리뷰보고 왔는데 ㅇㅈ? 실망스러움...	0
14	앞으로 여기 자주 올 것 같아요! 가성비 짱!ㅇㅈ? ㅋㅋ	1
15	마지막으로 온 게 언제였는지 모르겠는데, 여전히 인기 많네요!	1
16	ㅎㅎ 애들이랑 와서 잘 먹었어요. 아이들 메뉴도 맛있더라고요!	1
17	주문한 음식이 전부 나오지 않아서 환불 요청했어요.	0
18	요새 여기가 핫플이라던데, 완전 공감!	1
19	리뷰보고 왔는데 기대 이하였습니다.	0
20	안 와봤으면 큰일날뻔; 여기 김치찌개는 진리네 ㅎㅎ	1
21	이런 곳은 왜 유명해지지 않는 거죠? 숨은 맛집이네요!	1
22	뭔가 빠진 느낌? 뭐가 문제인지는 모르겠는데, 그냥 별로였어요.	0
23	우리 할머니도 극찬하셨어요! 또 오고 싶다고 하시더라구요.	1
24	음식도 늦게 나오고, 맛도 그닥... 실망이에요.	0
25	요새 패션에 맞게 리모델링도 하셨더라. 또 올게!	1
26	외관은 그냥 그랬는데, 내부가 너무 아늑하고 좋았습니다.	1
27	사진보다 음식 portion이 좀 작은 거 아닌가요? 😐	0
28	ㅁㅊ! 여기 왜 이제야 알게됐지? 대박 맛집이네!	1
29	이게 뭐야? ㅁㅊ라고 이렇게 매운 거라도 미리 얘기 좀 해줘야지. 입 안에서 불 키는 줄...	0
30	OMG! 이런 맛집을 지금서야 발견하다니ㅋㅋ 대박❤️	1
31	전체적으로 괜찮았지만, 음악 소리가 너무 커서 조금 시끄러웠습니다.	0
32	진짜 미친듯이 맛있어서 놀랐네요. ㄷㄷ... 여기는 천국이냐?	1
33	이전에 왔을 때보다 서비스가 많이 떨어진 것 같아요.	0
34	이렇게 좋은 곳이 있었는데, 왜 이제야 알았을까요? 다들 방문해보세요!	1
35	방문하려고 했는데, 문을 닫았더라고요. 영업 시간을 좀 더 정확히 표시해주셨으면 좋겠어요.	0
36	가격 대비 음식의 양이 너무 적었어요.	0
37	음식이 너무 짜서 물을 계속 마셨습니다.	0
38	솔직히 맛은 그냥 그랬어요. 하지만 분위기는 좋았습니다.	0
39	요기 돈까스 진짜 맛있어요. 돈까스 좋아하시는 분들 꼭 와보세요!	1
40	처음 와봤는데, 분위기도 좋고 음식도 만족스러워서 잘 먹었어요.	1
41	여기는 꼭 한 번 방문해봐야 해요! 너무 만족했습니다.	1
42	우리 아들이랑 왔는데, 아이 메뉴도 좋더라고요.	1
43	아니, 메뉴 주문한지 40분 넘었는데 안 나와요?	0
44	전 직원분들의 친절함에 감동 받았습니다. 음식도 무척 훌륭했어요.	1
45	청결도가 좀... 특히 화장실이 좀... ㅠㅠ	0
46	괜찮았어요.	1
47	처음 와보는데, 전통과 현대가 조화로운 곳이네요. 다음에 또 방문하려고요.	1
48	직원들이 너무 친절해서 기분 좋게 식사했습니다. 감사합니다.	1
49	직원들의 태도가 너무 불친절해서 기분이 안 좋았어요.	0
50	주차공간이 너무 협소해서 불편했습니다.	0
51	좀 너무 기대하고 왔나봐요... 뭐 이런 것도 있지 뭐 😑	0
52	최악의 응대... 여기 다시는 안 갈래요. 😡	0
53	진짜 대박! 여기 인테리어 너무 이쁘고, 음식도 인스타갬성 폭발!	1
54	불친절해서 기분 나빴어. 주문하려는데 계속 대화하고 있더라구요.	0
55	바다가 보이는 자리에서 식사하는 게 정말 로맨틱했어요. 분위기 최고에요!	1
56	식사 중에 바퀴벌레가 나와서 기분이 엄청 나빴습니다.	0
57	나중에 가게 될 걸 알았으면 아예 안 올 걸 그랬네. 재료가 신선하지 않아 보였어요.	0
58	처음부터 끝까지 서비스가 너무 좋았습니다. 직원들도 친절하시고, 음식은 말할 것도 없이 너무 맛있었어요. 특히 메인디쉬는 인상 깊었네요.	1
59	나한테는 좀 너무 달았어.	0
60	친구 추천으로 왔는데, 정말 잘 선택한 것 같아요. 👏	1
61	직원분이 계속 쳐다보면서 서비스 해주셔서 좀 불편했어요. 알바생 훈련이 필요해보여요.	0
62	ㄱㅊ... 특별히 기대 안 했는데 꽤 괜찮았어.	1
63	전통적인 맛 그대로, 우리 할머니 생각나게 하는 음식이었습니다. 감사합니다.	1
64	단체로 왔는데, 모두다 만족하며 나갔어요.	1
65	그냥 그랬다.	0
66	인테리어가 너무 이쁘더라고요. 사진 찍기 좋아요!	1
67	전 주차 때문에 여기 올 거면 차 대지 말라고 하고 싶네요. 주차장이 너무 협소하더라고요...	0
68	옛날 할머니집에서 먹던 그 맛이 났어요. 너무 행복한 식사였습니다.	1
69	ㄴㅇㄱ... 여기서 이런 일을 겪을 줄이야...	0
70	저녁 데이트로 딱 좋은 곳이네요! 분위기도 좋고, 음식도 훌륭해요.	1
71	한국 전통 음식을 찾으시는 분들에게 추천합니다! 정감있고 맛도 좋아요.	1
72	젊은 사람들이 좋아할만한 분위기에다가, 메뉴 구성도 신선하네요! 잘 먹었습니다!	1
73	이렇게 많은 사람들이 찾는 이유가 있었네요. 각종 리뷰와 추천에도 불구하고 직접 방문해서 먹어봐야 알 수 있는 맛이 있더라구요. 저는 특히 디저트가 인상적이었습니다.	1
74	와... 대기시간 너무 길어서 기다리다 짜증났음...	0
75	ㅋㅋ 이거 뭐임? 실화냐? 왜 이렇게 맛없냐ㅠㅠ	0
76	오랜만에 괜춘한 곳 찾았네요. 친구들한테 소개해줄듯.	1
77	분위기도 좋고 직원분들도 너무 친절해서 기분 좋게 식사했어요.	1
78	우리 집에서 가까워서 좋아요. 자주 이용할 것 같아요!	1
79	야외 테라스 자리가 있어서 좋았어요. 풍경 보면서 식사하는 거 좋아하시는 분들 추천!	1
80	이 가격에 이런 음식? 다시는 안 올 것 같아요.	0
81	와... 여기 진짜 꿀맛이네요!	1
82	30분 기다려서 받은 음식이 이거라니... 최악의 경험!!	0
83	여기 스파게티 맛집인듯. 국물 스파는 ㄹㅇ 최고.	1
84	직원들 태도가 좀 불친절해요. 다음엔 다른 곳을 찾아볼게요.	0
85	처음 방문했을 때부터 이번 방문까지, 항상 만족스럽게 먹고 가는 곳입니다. 이곳의 메뉴들은 언제 먹어도 질리지 않고, 새로운 맛을 제공해줘요.	1
86	깔끔한 내부와 아늑한 분위기, 이런 곳 찾았습니다!	1
87	가격이 좀 비싼 편인데, 그만큼의 가치가 있어요.	1
88	메뉴 선택의 폭이 넓어서 좋았어요. 여러 가지 시도해볼 수 있어서 좋았습니다.	1
89	계산할 때 추가 비용이 생겨서 불쾌했어요.	0
90	여기 팔은 디저트가 정말 맛있어요. 추천합니다!	1
91	별로에요.	0
92	포장해 갔는데 집에서 먹어보니 맛있더라고요!	1
93	주차장이 협소해서 차 대기하는데 오래 걸렸어요.	0
94	요즘 핫한 곳이라길래 갔는데, 그냥 그랬어요. 이전에 갔던 다른 식당이 더 나았던 것 같아요.	0
95	친구 추천으로 왔는데, 나도 추천하고 가요!	1
96	소문나서 왔는데, 기대 이하였어요.	0
97	우와.. 여기 스테이크는 정말 실력 있게 만드네요. 육질이 부드럽고, 소스의 균형이 완벽해요.👍🥩	1
98	그냥 그랬어요. 별로 큰 인상은 없네요.	0
99	여기 스테이크는 정말 최고예요! 반드시 다시 올 것 같아요!	1
100	와~ 여기 분위기 너무 좋아요! 데이트하기 딱 좋은 곳!	1
101	요기 진짜 ㄹㅇ 맛있어요! 다음에 또 올래요.	1
102	이전에는 맛있었는데, 이번엔 좀 별로였어요.	0
103	오랜만에 여길 찾았는데, 아직도 그 맛 그대로네요.	1
104	음식이 너무 기름져서 별로였어요.	0
105	세대차이가 확실히 느껴지는 곳. 2030들은 좋아할 거 같아요. 매장 음악도 트렌디하더라고요ㅋㅋ	1
106	가격 대비 맛이 너무 떨어져요.	0
107	음식이 너무 늦게 나와 기다리는 내내 기분이 안 좋았습니다.	0
108	음... 나쁘진 않았지만, 특별히 좋지도 않았어요. 중간이라고 해야하나...	1
109	직원 태도나 서비스는 좋은데, 음식이 내 기대 이하였습니다.	0
110	데이트하기 좋은 곳이라 친구가 추천해줬어. 정말 만족스러웠음!	1
111	그냥저냥? 뭐 크게 나쁘진 않았지만... 😐	0
112	아이들이랑 오기 딱 좋아요! 공간도 넓고 메뉴도 다양하고! 😊	1
113	포장도 꼼꼼하게 해주셔서 감사했어요.	1
114	바쁜 시간대라 그런지 서비스가 너무 느렸습니다.	0
115	메뉴 설명도 잘 해주시고, 맛도 훌륭했어요.	1
116	디저트 종류가 많아서 좋았어요. 특히 타르트 짱!	1
117	진짜 숨겨진 맛집! 여기 왜 이제야 알았을까요?	1
118	서비스 개노답... ㅂㅅ 같은 곳 다신 안 옴.	0
119	주문한지 1시간 넘게 기다려서 화가 났어요! ㅡㅡ	0
120	ㅈㄴ 노맛. 여기 다신 안 올 듯.	0
121	소문대로네요. 이런 맛집을 찾는 게 힘들어서 다행이에요!	1
122	주문한 음식과 달라서 불편했어요.	0
123	우와 이런 데가 우리 동네에도 있다니! 가격도 착하고, 음식도 굿굿! ㅋㅋㅋ	1
124	정말 맛있어요!	1
125	여기 피자는 다른 곳과는 다른 맛이에요. 꼭 한번 드셔보세요!	1
126	음식이 너무 짜지 않게 조절해 주셨으면 좋겠어요.	0
127	ㄴㅇㄱ. 여기는 진짜 최고네요! 다들 한번쯤 방문해보세요.	1
128	아빠랑 오랜만에 외식했는데, 여기 선택한 건 후회가 없네요!	1
129	메뉴가 그렇게 다양하지는 않지만, 맛은 있어서 만족합니다.	1
130	저는 개인적으로 여기 음식이 좋았어요. 다만, 직원 서비스는 좀 아쉬웠습니다.	1
131	코로나 때문에 걱정했는데, 위생 관리가 잘 되어있더라고요.	1
132	친절한 서비스와 맛있는 음식, 두 마리 토끼를 다 잡은 곳!	1
133	음료가 너무 달아서 다 마시지 못했어요.	0
134	솔직히 오늘따라 서비스가 너무 느렸어요. 뭐지? 😒	0
135	여기 짬뽕 정말 맛있어요! 중화요리 좋아하시는 분들 꼭 와보세요.	1
136	뷰는 좋았지만 음식은 그냥 그랬어요.	0
137	남자친구와 기념일에 왔는데, 분위기와 음식 모두 최상급이었어요!	1
138	주문한 메뉴가 다 나오지 않아서 황당했습니다.	0
139	고기 질이 좀... 아쉬웠어요.	0
140	이런 맛을 찾아 헤매던 중에 드디어 발견한 곳이에요!	1
141	음식이 식어서 나왔어요. 더 신경 써야할 것 같아요.	0
142	한참을 기다렸는데, 음식이 그다지... 별로였습니다.	0
143	저번에 갔을 때보다 맛이 좀 떨어진 것 같아요.	0
144	너무 맛있어서 가족들한테 추천하려고요! 👍	1
145	음식도 늦게 나오고, 직원들 태도도 별로였습니다.	0
146	음식은 그저 그랬지만, 디저트는 정말 맛있었어요!	1
147	ㅋㅋ 여긴 왜 이렇게 사람 많은지 알겠다. 서비스도 굳!	1
148	전통적인 김치찌개 맛을 찾는다면 이곳이 딱! 어머니 손맛 같아서 너무 좋았어요.	1
149	요기 진짜 ㄹㅇ 맛있음. 다들 꼭 가보세용.	1
150	다른 분들은 괜찮다고 하는데, 제 입맛엔 안 맞았어요.	0
151	우리 아버지가 매우 만족하셨습니다. 오랜만에 좋은 한식을 먹은 것 같아요.	1
152	할아버지가 이런 곳을 좋아하실 줄은 몰랐네요! 좋아하셨어요.	1
153	제 취향은 아니던데, 아내는 좋아하더라구요.	0
154	다 좋은데, 위치가 좀 애매해서 찾기 어려웠어요.	0
155	이 가격에 이런 퀄리티라니! 비밀스러운 맛집 찾은 기분이에요.	1
156	주차공간이 없어서 불편했어요. 차 타고 오시는 분들은 참고하세요.	0
157	이런 곳이 우리 동네에 있었던 것을 이제야 알았다니, 놀라워요!	1
158	직원분이 주문을 잘못 받아와서 조금 불편했습니다.	0
159	떡볶이는 달고, 튀김은 기름져서 다시 오진 않을 것 같아요.	0
160	친구들과 와서 실망했네요. 다신 오지 않을 것 같아요.	0
161	가족 모임 장소로 딱 좋아요. 모두 만족했습니다.	1
162	여기 직원분들이 좀 불친절하시던데요? 🤨	0
163	이렇게 맛있는 곳이 내 동네에 있었다니! 자주 올게요!	1
164	어릴 땐 여기 자주 왔는데, 맛이 변한 것 같아 아쉽네요.	0
165	헉, 먹어본 스테이크 중에서 탑3 안에 드는 거 같아용! 👍	1
166	신선한 재료와 특별한 레시피로 만든 음식이 정말 인상적이었어요!	1
167	확실히 광고랑은 다르네요. 기대가 너무 컸나 봅니다. 그냥 그래요.	0
168	서비스만 좋았다면 별 5개를 줬을텐데, 아쉽습니다.	0
169	음식이 너무 짜서 다 먹지 못했어요.	0
170	어릴 때 자주 가던 집인데, 여전히 그 맛 그대로네요. 추억이 새록새록.	1
171	진짜 맛있어서 포장까지 했습니다!	1
172	요즘 아이들이 좋아할만한 음식이 별로 없더라구요. 좀 아쉬워요.	0
173	친구들과 함께 와서 정말 재미있게 식사했습니다.	1
174	요기 메뉴 추천 받았는데 10/10 👌 다음엔 뭐 먹지 고민됨ㅠ	1
175	내 돈 주고 먹기엔 아쉬운 맛이었어.	0
176	우리 엄마한테 추천받았는데, 생각보다 그저 그래서 좀 실망했어.	0
177	처음 와봤는데, 너무 만족스러웠어요. 앞으로 자주 올 예정입니다.	1
178	너무나 훌륭하네요. 그동안 이런 곳을 찾아본 적이 없습니다. 위치도 중심가에 있어 찾기 수월했어요.	1
179	너무 짜서 먹기 힘들었어요. 다시 올 생각은 없네요.	0
180	젊은 친구들이랑 왔는데, 분위기도 굿이었어요!	1
181	알려주신 와인과 음식이 너무 잘 어울렸어요.	1
182	음식은 맛있었는데, 너무 시끄러워서 대화하기 힘들었어요.	0
183	나쁘지 않았어.	1
184	이렇게 특별한 맛을 찾아낼 수 있다니! 가게 분위기부터 음식까지, 전반적으로 모든 것이 완벽했어요. 다음에도 꼭 다시 오고 싶네요.	1
185	와... 이런 곳을 이제야 알게 되다니! 대박이에요.	1
186	음식은 괜찮았는데, 직원들 태도가 별로더라고요. 그래도 나름 대만족!	1
187	저기요, 여긴 가격이 너무 비싸지 않나요? 조금 가성비가...😅	0
188	전 너무 매웠어요. 다들 좋아하던데 맛의 차이인가 봐요.	0
189	딱히 특별한 점은 없었어요. 그냥 그랬습니다.	0
190	여기 정말 예전부터 알고 오던 곳인데, 맛이 계속 유지돼서 좋아요.	1
191	음식점 내부가 너무 추워서 식사하는 내내 불편했어요.	0
192	음... 가격이랑 맛이랑 참 안 맞는 것 같아요. 다시 올 의향은 없을 거 같아요.	0
193	나이 들면서 많은 음식점을 다녀봤는데, 여기는 탑 5안에 들 정도로 좋아요.	1
194	평이 좋아서 왔는데... 참 별로였어요. ㅠㅠ 그냥 집에서 먹을 걸 그랬나 봐요.	0
195	어제 처음 방문했는데, 이미 다시 가고 싶네요! 😊	1
196	오랜만에 가족들과 함께한 식사였는데, 모두 만족해했습니다. 아주 좋았어요. ❤️	1
197	여기의 특색 있는 메뉴들은 다른 곳에서 느낄 수 없는 독특한 맛이에요!	1
198	음식의 양이 좀 적었던 것 같아요. 가격 대비 만족도가 떨어짐.	0
199	가격 대비해서 그닥... 다른 데가 더 나을 듯.	0
200	봤을 때는 그냥 그랬는데, 맛이.. 역시나 짱이네요! 🔥	1
201	여기 서비스가 너무 좋아요. 직원분들이 친절하시더라고요. 분위기도 아늑해서 다음에도 오고 싶네요.	1
202	아이들과 왔는데, 아이들이 좋아하는 메뉴가 많아서 좋았어요.	1
203	파스타 진짜 존맛탱. 이 가격에 이런 맛? 대박이야!	1
