id	comment	reply
1	여기 음식은 언제 와도 실망시키지 않아요. 최고!	감사합니다! 항상 최선을 다해 더 좋은 음식과 서비스로 보답하겠습니다.
2	여기 라멘 진짜 ㄹㅇ 맛있어요. 국물이 진하고 면도 쫄깃해서 너무 좋았습니다.	너무 감사합니다! 라멘을 좋아해주셔서 기뻐요.
3	진짜 깔끔하고, 맛도 좋았어요. 추천합니다!	감사합니다! 다음에도 깔끔하고 맛있는 음식으로 기다리겠습니다.
4	왜 이렇게 유명한지 모르겠음ㅋㅋ ㄹㅈㄷ 맛없음	의견 주셔서 감사합니다. 더 나은 맛을 위해 노력하겠습니다.
5	인생 타르트를 여기서 만났어요❤️ 달지 않고 고소해서 정말 추천합니다!	타르트를 좋아해주셔서 감사합니다! 항상 최상의 맛을 유지하기 위해 노력하겠습니다.
6	메뉴 설명을 너무 친절하게 해주셔서 고르기 수월했어요.	감사합니다! 다음에도 메뉴 선택에 도움 드리겠습니다.
7	사진과 음식이 너무 달라서 실망했습니다.	죄송합니다. 사진과 실제의 차이로 불편을 드려서 죄송합니다.
8	주변에 추천하려고 사진도 많이 찍었어요. 좋아요!	감사합니다! 사진 찍어주셔서 너무 기뻐요.
9	솔직히...? 맛이 그닥이에요. 리뷰랑 너무 다르네.	죄송합니다. 지속적인 향상을 위해 노력하겠습니다.
10	진짜 개꿀맛..ㅠ 다른곳 안가.	너무 감사합니다! 앞으로도 기대에 부응하도록 노력하겠습니다.
11	음식이 너무 늦게 나와서 기다리는 동안 답답했습니다.	죄송합니다. 불편을 드려 대단히 죄송합니다.
12	음식도 맛있고, 가격도 합리적이에요. 다음에 또 오려구요.	너무 감사합니다! 다음 방문을 기다리고 있을게요.
13	여기 리뷰보고 왔는데 ㅇㅈ? 실망스러움...	기대에 부응하지 못해 죄송합니다. 더 좋은 서비스로 보답하겠습니다.
14	앞으로 여기 자주 올 것 같아요! 가성비 짱!ㅇㅈ? ㅋㅋ	기뻐요! 항상 최고의 서비스로 기다리고 있을게요.
15	마지막으로 온 게 언제였는지 모르겠는데, 여전히 인기 많네요!	오랜 시간 동안의 사랑, 진심으로 감사드립니다!
16	ㅎㅎ 애들이랑 와서 잘 먹었어요. 아이들 메뉴도 맛있더라고요!	아이들과 함께 행복한 시간 보내셨다니 기뻐요. 다음에도 기다리고 있을게요!
17	주문한 음식이 전부 나오지 않아서 환불 요청했어요.	불편을 드려서 죄송합니다. 확인하고 빠른 조치를 취하겠습니다.
18	요새 여기가 핫플이라던데, 완전 공감!	고마워요! 앞으로도 계속 좋은 곳으로 남도록 노력하겠습니다.
19	리뷰보고 왔는데 기대 이하였습니다.	송구합니다. 지속적인 개선을 통해 더 나은 서비스를 제공하겠습니다.
20	안 와봤으면 큰일날뻔; 여기 김치찌개는 진리네 ㅎㅎ	김치찌개를 좋아해주셔서 감사합니다! 더 많은 메뉴로 만나뵙게요.
21	이런 곳은 왜 유명해지지 않는 거죠? 숨은 맛집이네요!	감사합니다! 더 많은 분들께 알려져 좋은 맛을 전달하고 싶어요.
22	뭔가 빠진 느낌? 뭐가 문제인지는 모르겠는데, 그냥 별로였어요.	의견 주셔서 감사합니다. 더 좋은 맛과 서비스를 위해 노력하겠습니다.
23	우리 할머니도 극찬하셨어요! 또 오고 싶다고 하시더라구요.	할머니께서 좋아하셨다니 감사합니다! 다음에도 만족하실 수 있도록 노력하겠습니다.
24	음식도 늦게 나오고, 맛도 그닥... 실망이에요.	죄송합니다. 서비스의 개선을 위해 노력하겠습니다.
25	요새 패션에 맞게 리모델링도 하셨더라. 또 올게!	감사합니다! 더욱 편안하고 즐거운 공간이 되도록 노력하겠습니다.
