id	comment	label
1	완전 내 스타일이에요! 가격도 적당하고 위치도 좋고👌	0
2	맛있긴 한데 양이 너무 적어서 좀... ㅠ	0
3	완전 내 스타일이에요 ㅠㅠ 여기 매장 분위기도 이쁨	0
4	한국의 전통 음식을 잘 표현한 것 같아요. 향토음식의 정취가 느껴져 좋았습니다.	0
5	서빙하는 분이 좀 불친절해서 기분이 좀 그랬어요.	0
6	여기빵 왜이렇게맛있죠? 대박인데?	0
7	맛은 있는데, 가격이 너무 비싸서 가성비는 별로였어요.	0
8	ㅁㅊ... 여기 진짜 미친듯이 맛있음. 또 올듯ㅋㅋ	0
9	ㅇㅈㄹㅇ ㅋㅋ 여기 왜 이제야 알았을까 싶네	0
10	직원 한명이 너무 불친절했어요. 그냥 기분 나빴음.	0
11	전체적인 분위기나 인테리어는 괜찮았는데, 청결도가 좀 아쉬워요.	0
12	여기 김치 진짜 최고임 ㅋㅋ 내가 먹어본 김치 중 1등	0
13	이 집 김치찌개 진짜 대박임. 꼭 먹어보세용	0
14	왜 이렇게 평이 좋은지 모르겠음.. 나에겐 그냥 그랬어.	0
15	소문대로의 명성! 이런 곳이 내 동네에 있다니 행복해요.	0
16	다른 음식점과는 차별화된 맛이 있어요. 독특한데 맛있어요!	0
17	저는 별로였는데, 친구는 좋다고 하더라고요. 개인의 차이인 듯.	0
18	이게 뭐야? 돈 주고 먹는 음식이 이 모양이야?	0
19	후기 좋아서 왔는데, 솔직히 기대 이하였어요.	0
20	지금까지 먹어본 중 최고의 냉면이에요. 육수도 깊고 면발이 쫄깃해요!	0
21	서비스 개불친절 ㅡㅡ다신안옴	0
22	대기 시간이 좀 있었지만, 그래도 맛있게 잘 먹었어요.	0
23	종업원분들이 정말 친절하셔서 기분 좋게 식사했어요.	0
24	진짜 제 인생 맛집! 다음에도 꼭 다시 오고 싶어요.	0
25	직원들이 너무 친절하셔서 좋았어요. 위치도 좋아서 자주 올 것 같아요.	0
26	테이블 위에 먼지가 많아서 기분이 좀 불쾌했어요.	0
27	음식 나오는데 너무오래걸리더라ㅡㅡ 그래도 맛은 굿	0
28	왜 이렇게 사람들이 많은지 알겠더라고요. 맛과 서비스 모두 만족!	0
29	음식이 맛있긴한데 가격대비 양이 너무 적어서 별로였음.	0
30	서비스 개노답. 다신 안올듯.	0
31	여기 카레는 다른 데서 먹던 것과는 달라요. 독특한 맛이 잘 어우러진다는 느낌?	0
32	여기 메뉴 다 맛있어서 뭐 시킬지 고민됨 ㅋㅋ 다음에는 뭘 먹지? 🤔	0
33	서비스도 맛도 모두 최고! 여기 자주 올거같아요	0
34	바닷가 옆에서 먹는 해산물, 진짜 최고의 조합이에요!	0
35	저번에 온 것보다 맛이 떨어지는 것 같아요. 변한 거 있나요?	0
36	여기 진짜 소문대로네요. 메뉴 하나하나 다 만족!	0
37	아무리 바빠도 기본적인 서비스는 지켜야 하는 거 아닌가요?	0
38	매장이 좀 낡은 느낌? 조금만 리모델링 해주셨으면...	0
39	ㅇㅇ 여기 분위기랑 음식 모두 괜찮았어요.	0
40	ㅇㅇ 여기 분위기랑 음식 모두 괜찮았어요.	0
41	제 친구 추천으로 왔는데, 진짜 ㅇㅈ!	0
42	음식 맛은 괜찮은데, 위생상태가 좀 😖	0
43	주방에서 소리가 너무 크게 들려서 조금 불편했네요.	0
44	맛은 있었는데, 대기시간이 너무 길어서 별로였어.	0
45	외국인 친구들이랑 왔는데, 모두 만족했어요. 한국 음식 문화를 잘 느낄 수 있었습니다.	0
46	전반적으로는 만족! 다만, 좀더 청결했으면 좋겠어요.	0
47	음식은 좋은데, 서빙하는 분이 너무 느리셔서 기다리느라 지쳤어요.	0
48	여긴 진짜 가성비 갑이다. 돈이 아깝지 않아!	0
49	음식은 나쁘진 않았는데, 가격이 너무 비싸서 다시 오고 싶지 않아요.	0
50	처음 와봤는데, 기대이상이었어요. 앞으로 자주 올듯.	0
